hour,kW
0.00,112.0
0.25,110.8
0.50,109.5
0.75,108.2
1.00,107.0
1.25,106.2
1.50,105.5
1.75,104.8
2.00,104.0
2.25,103.5
2.50,103.0
2.75,102.5
3.00,102.0
3.25,102.5
3.50,103.0
3.75,103.5
4.00,104.0
4.25,106.0
4.50,108.0
4.75,110.0
5.00,112.0
5.25,115.5
5.50,119.0
5.75,122.5
6.00,126.0
6.25,130.8
6.50,135.5
6.75,140.2
7.00,145.0
7.25,149.5
7.50,154.0
7.75,158.5
8.00,163.0
8.25,166.2
8.50,169.5
8.75,172.8
9.00,176.0
9.25,178.5
9.50,181.0
9.75,183.5
10.00,186.0
10.25,187.8
10.50,189.5
10.75,191.2
11.00,193.0
11.25,194.0
11.50,195.0
11.75,196.0
12.00,197.0
12.25,197.8
12.50,198.5
12.75,199.2
13.00,200.0
13.25,200.0
13.50,200.0
13.75,200.0
14.00,200.0
14.25,199.0
14.50,198.0
14.75,197.0
15.00,196.0
15.25,194.0
15.50,192.0
15.75,190.0
16.00,188.0
16.25,185.0
16.50,182.0
16.75,179.0
17.00,176.0
17.25,172.5
17.50,169.0
17.75,165.5
18.00,162.0
18.25,158.5
18.50,155.0
18.75,151.5
19.00,148.0
19.25,145.5
19.50,143.0
19.75,140.5
20.00,138.0
20.25,136.0
20.50,134.0
20.75,132.0
21.00,130.0
21.25,128.0
21.50,126.0
21.75,124.0
22.00,122.0
22.25,120.5
22.50,119.0
22.75,117.5
23.00,116.0
23.25,115.0
23.50,114.0
23.75,113.0
