hour,kW
0.00,288.1
0.25,281.3
0.50,275.3
0.75,269.5
1.00,266.9
1.25,255.6
1.50,251.1
1.75,252.7
2.00,259.0
2.25,258.8
2.50,255.3
2.75,257.1
3.00,255.2
3.25,250.2
3.50,239.6
3.75,241.6
4.00,245.9
4.25,250.8
4.50,251.7
4.75,257.7
5.00,268.0
5.25,272.2
5.50,275.9
5.75,282.7
6.00,307.5
6.25,337.6
6.50,376.3
6.75,421.0
7.00,482.1
7.25,552.2
7.50,623.0
7.75,698.5
8.00,775.0
8.25,852.8
8.50,921.8
8.75,997.2
9.00,1069.9
9.25,1134.0
9.50,1181.2
9.75,1223.4
10.00,1265.4
10.25,1296.8
10.50,1321.0
10.75,1339.1
11.00,1360.6
11.25,1366.3
11.50,1360.1
11.75,1347.3
12.00,1348.2
12.25,1361.6
12.50,1375.4
12.75,1390.9
13.00,1410.6
13.25,1440.6
13.50,1463.7
13.75,1487.4
14.00,1508.8
14.25,1531.1
14.50,1542.1
14.75,1543.9
15.00,1542.2
15.25,1532.7
15.50,1517.7
15.75,1492.3
16.00,1469.5
16.25,1438.5
16.50,1400.3
16.75,1347.3
17.00,1287.7
17.25,1221.9
17.50,1147.0
17.75,1069.9
18.00,996.7
18.25,941.5
18.50,885.9
18.75,828.6
19.00,769.7
19.25,724.4
19.50,682.3
19.75,636.1
20.00,593.7
20.25,560.5
20.50,537.2
20.75,505.8
21.00,477.6
21.25,452.1
21.50,432.9
21.75,405.0
22.00,376.4
22.25,357.4
22.50,345.6
22.75,335.4
23.00,319.7
23.25,313.8
23.50,307.5
23.75,299.6
24.00,288.1
