hour,kW
0.00,0.0
0.25,0.0
0.50,0.0
0.75,0.0
1.00,0.0
1.25,0.0
1.50,0.0
1.75,0.0
2.00,0.0
2.25,0.0
2.50,0.0
2.75,0.0
3.00,0.0
3.25,0.0
3.50,0.0
3.75,0.0
4.00,0.0
4.25,0.0
4.50,0.0
4.75,0.0
5.00,0.0
5.25,0.0
5.50,0.0
5.75,0.0
6.00,0.0
6.25,0.0
6.50,0.0
6.75,0.0
7.00,0.0
7.25,1.9
7.50,4.2
7.75,6.6
8.00,9.1
8.25,12.0
8.50,14.9
8.75,17.7
9.00,19.9
9.25,22.5
9.50,24.8
9.75,26.8
10.00,28.6
10.25,31.1
10.50,34.2
10.75,36.2
11.00,37.9
11.25,39.2
11.50,41.0
11.75,41.3
12.00,41.2
12.25,41.8
12.50,43.1
12.75,44.2
13.00,44.0
13.25,44.5
13.50,44.6
13.75,44.1
14.00,41.9
14.25,40.4
14.50,39.4
14.75,38.5
15.00,36.9
15.25,35.4
15.50,34.5
15.75,32.6
16.00,30.1
16.25,27.0
16.50,24.7
16.75,22.1
17.00,19.5
17.25,16.8
17.50,14.6
17.75,12.3
18.00,9.5
18.25,6.8
18.50,4.2
18.75,1.9
19.00,0.0
19.25,0.0
19.50,0.0
19.75,0.0
20.00,0.0
20.25,0.0
20.50,0.0
20.75,0.0
21.00,0.0
21.25,0.0
21.50,0.0
21.75,0.0
22.00,0.0
22.25,0.0
22.50,0.0
22.75,0.0
23.00,0.0
23.25,0.0
23.50,0.0
23.75,0.0
24.00,0.0
