hour,kW
0.00,0.0
0.25,0.0
0.50,0.0
0.75,0.0
1.00,0.0
1.25,0.0
1.50,0.0
1.75,0.0
2.00,0.0
2.25,0.0
2.50,0.0
2.75,0.0
3.00,0.0
3.25,0.0
3.50,0.0
3.75,0.0
4.00,0.0
4.25,0.0
4.50,0.0
4.75,0.0
5.00,0.0
5.25,0.0
5.50,0.0
5.75,0.0
6.00,0.0
6.25,2.0
6.50,4.0
6.75,6.0
7.00,8.0
7.25,13.5
7.50,19.0
7.75,24.5
8.00,30.0
8.25,38.0
8.50,46.0
8.75,54.0
9.00,62.0
9.25,70.5
9.50,79.0
9.75,87.5
10.00,96.0
10.25,103.0
10.50,110.0
10.75,117.0
11.00,124.0
11.25,128.5
11.50,133.0
11.75,137.5
12.00,142.0
12.25,144.0
12.50,146.0
12.75,148.0
13.00,150.0
13.25,149.0
13.50,148.0
13.75,147.0
14.00,146.0
14.25,142.0
14.50,138.0
14.75,134.0
15.00,130.0
15.25,123.5
15.50,117.0
15.75,110.5
16.00,104.0
16.25,96.0
16.50,88.0
16.75,80.0
17.00,72.0
17.25,63.5
17.50,55.0
17.75,46.5
18.00,38.0
18.25,31.0
18.50,24.0
18.75,17.0
19.00,10.0
19.25,7.5
19.50,5.0
19.75,2.5
20.00,0.0
20.25,0.0
20.50,0.0
20.75,0.0
21.00,0.0
21.25,0.0
21.50,0.0
21.75,0.0
22.00,0.0
22.25,0.0
22.50,0.0
22.75,0.0
23.00,0.0
23.25,0.0
23.50,0.0
23.75,0.0
